"lik0","lik1","effect1","df","resistance","N1","N","gamma","p"
307.773173497192,307.850875434014,-0.0246297341447591,1,"INSTI",9,1617,0.155403873643991,0.693423803337891
399.468728051575,399.647812202208,-0.0124277486337402,1,"NNRTI",106,1553,0.358168301266005,0.549525278037916
401.626553941872,403.14461464874,-0.0446399612692427,1,"NRTI",78,1552,3.03612141373605,0.0814302645740029
307.773173497192,307.773269002421,0.000458825595432921,1,"PI",39,1617,0.000191010458024721,0.988973065145011
399.468728051575,NA,NA,0,"INSTI_NNRTI",0,1553,NA,NA
401.626553941872,NA,NA,0,"INSTI_NRTI",0,1552,NA,NA
307.773173497192,308.372466339026,-0.177391501094796,1,"INSTI_PI",1,1617,1.19858568366806,0.273604537885745
401.626553941872,402.353429604362,-0.0755445662225223,1,"NNRTI_NRTI",12,1552,1.45375132498009,0.227926973241147
399.468728051575,399.59082222772,-0.0366052203861636,1,"NNRTI_PI",9,1553,0.244188352290053,0.621197297494712
401.626553941872,402.409536536969,-0.0898154282028269,1,"NRTI_PI",9,1552,1.56596519019399,0.210793934748992
