"p_threshold","type","logp"
"1e-04","CTL",0.606040913427212
"0.01","CTL",0.319280786932049
"0.05","CTL",0.307206535335804
"1e-04","CTL_1",0
"0.01","CTL_1",0
"0.05","CTL_1",0.273605207008655
"1e-04","CTL_2",1.05141699750695
"0.01","CTL_2",1.09049544448697
"0.05","CTL_2",0.435423778792622
"1e-04","CTL_3",0.273722345482462
"0.01","CTL_3",0.793139317070526
"0.05","CTL_3",0.0443166065373499
"1e-04","DRM_IAS",4.82163733276644e-17
"0.01","DRM_IAS",0
"0.05","DRM_IAS",0.136670115139671
"1e-04","DRM_LA",0
"0.01","DRM_LA",0
"0.05","DRM_LA",0.071111888776251
