Global alignment coord,B.FR.83.HXB2_LAI_IIIB_BRU.K03455 coord
1,497
2,498
3,499
4,500
5,501
6,502
7,503
8,504
9,505
10,506
11,507
12,508
13,509
14,510
15,511
16,512
17,513
18,514
19,515
20,516
21,516.5
22,517
23,518
24,519
25,519.5
26,520
27,521
28,522
29,523
30,524
31,525
32,526
33,527
34,528
35,529
36,530
37,531
38,531.5
39,532
40,533
41,534
42,535
43,536
44,537
45,538
46,539
47,540
48,541
49,542
50,543
51,544
52,545
53,546
54,547
55,548
56,549
57,550
58,551
59,552
60,553
61,554
62,555
63,556
64,557
65,558
66,559
67,560
68,561
69,562
70,563
71,564
72,565
73,566
74,567
75,568
76,569
77,570
78,571
79,572
80,573
81,573.5
82,574
83,575
84,576
85,577
86,578
87,579
88,580
89,581
90,582
91,583
92,584
93,585
94,586
95,587
96,588
97,589
98,590
99,591
100,592
101,593
102,594
103,595
104,596
105,597
106,598
107,599
108,600
109,601
110,602
111,603
112,604
113,605
114,606
115,607
116,608
117,609
118,610
119,611
120,612
121,613
122,614
123,615
124,616
125,617
126,618
127,619
128,620
129,621
130,622
131,623
132,624
133,625
134,626
135,627
136,628
137,629
138,630
139,631
140,632
141,633
142,634
143,635
144,636
145,636.5
146,637
147,638
148,639
149,640
150,641
151,642
152,642.5
153,642.5
154,642.5
155,642.5
156,642.5
157,642.5
158,642.5
159,642.5
160,642.5
161,642.5
162,642.5
163,642.5
164,642.5
165,642.5
166,642.5
167,642.5
168,642.5
169,642.5
170,642.5
171,642.5
172,642.5
173,642.5
174,642.5
175,642.5
176,642.5
177,643
178,644
179,645
180,646
181,647
182,648
183,649
184,650
185,651
186,651.5
187,652
188,653
189,654
190,655
191,656
192,657
193,657.5
194,657.5
195,657.5
196,658
197,659
198,660
199,661
200,662
201,663
202,664
203,665
204,666
205,666.5
206,666.5
207,666.5
208,666.5
209,666.5
210,666.5
211,666.5
212,666.5
213,666.5
214,666.5
215,666.5
216,666.5
217,666.5
218,666.5
219,666.5
220,666.5
221,666.5
222,666.5
223,666.5
224,666.5
225,666.5
226,666.5
227,666.5
228,666.5
229,667
230,668
231,669
232,670
233,671
234,672
235,673
236,674
237,675
238,675.5
239,675.5
240,675.5
241,676
242,677
243,678
244,679
245,680
246,681
247,682
248,683
249,684
250,685
251,686
252,687
253,688
254,689
255,690
256,690.5
257,691
258,692
259,693
260,693.5
261,694
262,695
263,696
264,697
265,698
266,699
267,700
268,701
269,702
270,703
271,704
272,705
273,706
274,707
275,708
276,709
277,710
278,711
279,711.5
280,711.5
281,712
282,713
283,714
284,714.5
285,714.5
286,715
287,716
288,717
289,718
290,719
291,720
292,721
293,722
294,723
295,724
296,725
297,726
298,727
299,728
300,729
301,730
302,731
303,732
304,732.5
305,732.5
306,732.5
307,733
308,734
309,735
310,735.5
311,735.5
312,735.5
313,736
314,737
315,738
316,739
317,740
318,741
319,742
320,743
321,744
322,745
323,746
324,747
325,748
326,749
327,750
328,751
329,752
330,753
331,754
332,755
333,756
334,757
335,758
336,759
337,759.5
338,759.5
339,759.5
340,759.5
341,759.5
342,759.5
343,759.5
344,759.5
345,759.5
346,760
347,761
348,762
349,763
350,764
351,765
352,766
353,767
354,768
355,769
356,770
357,771
358,772
359,773
360,774
361,775
362,776
363,777
364,778
365,779
366,780
367,781
368,782
369,783
370,783.5
371,783.5
372,784
373,785
374,786
375,787
376,788
377,789
378,790
379,791
380,792
381,793
382,794
383,795
384,796
385,797
386,798
387,799
388,800
389,801
390,802
391,803
392,804
393,805
394,806
395,807
396,808
397,809
398,810
399,811
400,812
401,813
402,814
403,815
404,816
405,817
406,818
407,819
408,820
409,821
410,822
411,823
412,824
413,825
414,826
415,827
416,828
417,829
418,830
419,831
420,832
421,833
422,834
423,835
424,836
425,837
426,838
427,839
428,840
429,841
430,842
431,843
432,844
433,845
434,846
435,847
436,848
437,849
438,850
439,851
440,852
441,853
442,854
443,855
444,856
445,857
446,858
447,859
448,860
449,861
450,862
451,863
452,864
453,865
454,866
455,867
456,868
457,869
458,870
459,871
460,872
461,873
462,874
463,875
464,876
465,877
466,878
467,879
468,880
469,881
470,882
471,883
472,884
473,885
474,886
475,887
476,888
477,889
478,890
479,891
480,892
481,893
482,894
483,895
484,896
485,897
486,898
487,899
488,900
489,901
490,902
491,903
492,904
493,905
494,906
495,907
496,908
497,909
498,910
499,911
500,912
501,913
502,914
503,915
504,916
505,917
506,918
507,919
508,920
509,921
510,922
511,923
512,924
513,925
514,926
515,927
516,928
517,929
518,930
519,931
520,932
521,933
522,934
523,935
524,936
525,937
526,938
527,939
528,940
529,941
530,942
531,943
532,944
533,945
534,946
535,947
536,948
537,949
538,950
539,951
540,952
541,953
542,954
543,955
544,956
545,957
546,958
547,959
548,960
549,961
550,962
551,963
552,964
553,965
554,966
555,967
556,968
557,969
558,970
559,971
560,972
561,973
562,974
563,975
564,976
565,977
566,978
567,979
568,980
569,981
570,982
571,983
572,984
573,985
574,986
575,987
576,988
577,989
578,990
579,991
580,992
581,993
582,994
583,995
584,996
585,997
586,998
587,999
588,1000
589,1001
590,1002
591,1003
592,1004
593,1005
594,1006
595,1007
596,1008
597,1009
598,1010
599,1011
600,1012
601,1013
602,1014
603,1015
604,1016
605,1017
606,1018
607,1019
608,1020
609,1021
610,1022
611,1023
612,1024
613,1025
614,1026
615,1027
616,1028
617,1029
618,1030
619,1031
620,1032
621,1033
622,1034
623,1035
624,1036
625,1037
626,1038
627,1039
628,1040
629,1041
630,1042
631,1043
632,1044
633,1045
634,1046
635,1047
636,1048
637,1049
638,1050
639,1051
640,1052
641,1053
642,1054
643,1055
644,1056
645,1057
646,1058
647,1059
648,1060
649,1061
650,1062
651,1063
652,1064
653,1065
654,1066
655,1067
656,1068
657,1069
658,1070
659,1071
660,1072
661,1073
662,1074
663,1075
664,1076
665,1077
666,1078
667,1079
668,1080
669,1081
670,1082
671,1083
672,1084
673,1085
674,1086
675,1087
676,1088
677,1089
678,1090
679,1091
680,1092
681,1093
682,1094
683,1095
684,1096
685,1097
686,1098
687,1099
688,1100
689,1101
690,1102
691,1103
692,1104
693,1105
694,1106
695,1107
696,1108
697,1109
698,1110
699,1111
700,1112
701,1113
702,1114
703,1115
704,1116
705,1117
706,1118
707,1119
708,1120
709,1121
710,1122
711,1122.5
712,1122.5
713,1122.5
714,1122.5
715,1122.5
716,1122.5
717,1122.5
718,1122.5
719,1122.5
720,1122.5
721,1122.5
722,1122.5
723,1122.5
724,1122.5
725,1122.5
726,1123
727,1124
728,1125
729,1126
730,1127
731,1128
732,1128.5
733,1128.5
734,1128.5
735,1128.5
736,1128.5
737,1128.5
738,1128.5
739,1128.5
740,1128.5
741,1129
742,1130
743,1131
744,1131.5
745,1131.5
746,1131.5
747,1132
748,1133
749,1134
750,1135
751,1136
752,1137
753,1138
754,1139
755,1140
756,1140.5
757,1140.5
758,1140.5
759,1140.5
760,1140.5
761,1140.5
762,1140.5
763,1140.5
764,1140.5
765,1140.5
766,1140.5
767,1140.5
768,1140.5
769,1140.5
770,1140.5
771,1140.5
772,1140.5
773,1140.5
774,1140.5
775,1140.5
776,1140.5
777,1140.5
778,1140.5
779,1140.5
780,1140.5
781,1140.5
782,1140.5
783,1140.5
784,1140.5
785,1140.5
786,1140.5
787,1140.5
788,1140.5
789,1141
790,1142
791,1143
792,1144
793,1145
794,1146
795,1146.5
796,1146.5
797,1146.5
798,1146.5
799,1146.5
800,1146.5
801,1146.5
802,1146.5
803,1146.5
804,1147
805,1148
806,1149
807,1150
808,1151
809,1152
810,1153
811,1154
812,1155
